"JobId","Type","State","Status","StateDetails","JobPolicy","Client","JobSchedule","Kilobytes","MediaServer","KB/Sec","EndTime","StartTime","MasterServer","Has_Breached"
"170413","Backup","Done","1","","INDY_PRD_WIN_FS_03","MK-VRU2.msn00.oneamerica.com","Daily_Incr","169AA1320","indpprdwnbu04.msn00.oneamerica.com","5305","7/5/2018 17:06:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170525","Image Cleanup","Done","0","","","","","","","","7/5/2018 23:59:00","7/5/2018 23:57:00","INDPPRDWNBU02","NO"
"170524","Backup","Done","0","","INDY_VADP_02","SWTMKSRTPAS01","Daily_Incr","25AA92160","indpprdwnbu04.msn00.oneamerica.com","4970","7/5/2018 17:20:00","7/5/2018 17:11:00","INDPPRDWNBU02","NO"
"170523","Backup","Done","0","","INDY_VADP_01","SWPDHCP03","Daily_Incr","1609390","indpprdwnbu04.msn00.oneamerica.com","18178","7/5/2018 17:13:00","7/5/2018 17:11:00","INDPPRDWNBU02","NO"
"170522","Backup","Done","0","","INDY_VADP_01","SWPBLUECOAT03","Daily_Incr","2668560","indpprdwnbu04.msn00.oneamerica.com","4916","7/5/2018 17:20:00","7/5/2018 17:11:00","INDPPRDWNBU02","NO"
"170521","Backup","Done","0","","INDY_VADP_02","SWPCSR01","Daily_Incr","3845671","indpprdwnbu04.msn00.oneamerica.com","4555","7/5/2018 17:21:00","7/5/2018 17:06:00","INDPPRDWNBU02","NO"
"170520","Backup","Done","0","","INDY_VADP_03","IVDWMSSQLDB01","Daily_Incr","1637825","indpprdwnbu01.msn00.oneamerica.com","1353","7/5/2018 17:25:00","7/5/2018 17:05:00","INDPPRDWNBU02","NO"
"170519","Backup","Done","0","","INDY_VADP_05","IVPWMSN00DC15","Daily_Incr","3715771","indpprdwnbu01.msn00.oneamerica.com","7581","7/5/2018 17:11:00","7/5/2018 17:02:00","INDPPRDWNBU02","NO"
"170518","Backup","Done","0","","INDY_VADP_01","SWPDPA01","Daily_Incr","5782936","indpprdwnbu04.msn00.oneamerica.com","5366","7/5/2018 17:20:00","7/5/2018 17:01:00","INDPPRDWNBU02","NO"
"170517","Backup","Done","0","","INDY_VADP_01","SWPBLUECOAT04","Daily_Incr","2486771","indpprdwnbu04.msn00.oneamerica.com","5358","7/5/2018 17:10:00","7/5/2018 17:01:00","INDPPRDWNBU02","NO"
"170516","Backup","Done","0","","INDY_VADP_04","INDVPRDLASENSOR01","Daily_Incr","703846912","indpprdwnbu01.msn00.oneamerica.com","57681","7/5/2018 20:27:00","7/5/2018 17:01:00","INDPPRDWNBU02","NO"
"170515","Backup","Done","0","","INDY_VADP_05","IVPWMSN00DC16","Daily_Incr","4071275","indpprdwnbu01.msn00.oneamerica.com","7851","7/5/2018 17:11:00","7/5/2018 17:01:00","INDPPRDWNBU02","NO"
"170513","Backup","Done","0","","INDY_VADP_PC4377","PC4377","Daily_Incr","7611018","indpprdwnbu01.msn00.oneamerica.com","2471","7/5/2018 17:54:00","7/5/2018 17:01:00","INDPPRDWNBU02","NO"
"170514","Backup","Done","0","","INDY_PRD_SQL_NDMP_03","INDVPRDHNAS02","Daily_Incr","1433856","indpprdwnbu04.msn00.oneamerica.com","1259","7/5/2018 17:21:00","7/5/2018 17:01:00","INDPPRDWNBU02","NO"
"170512","Backup","Done","0","","INDY_PRD_NDMP_04","INDVPRDHNAS02","Daily_Incr","5865728","indpprdwnbu04.msn00.oneamerica.com","10930","7/5/2018 17:11:00","7/5/2018 17:01:00","INDPPRDWNBU02","NO"
"170511","Backup","Done","0","","INDY_VADP_01","IVPW00CTXPS02","Daily_Incr","1391229","indpprdwnbu04.msn00.oneamerica.com","10375","7/5/2018 17:05:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
"170510","Backup","Done","0","","INDY_PRD_NDMP_03_01","INDVPRDHNAS02","Daily_Incr","768","indpprdwnbu01.msn00.oneamerica.com","0","7/5/2018 17:55:00","7/5/2018 17:00:00","INDPPRDWNBU02","NO"
