"JobId","Type","State","Status","StateDetails","JobPolicy","Client","JobSchedule","Kilobytes","MediaServer","KB/Sec","EndTime","StartTime","MasterServer","Has_Breached"
"170767","Backup","Done","1","","INDY_PRD_WIN_FS_03","MK-VRU2.msn00.oneamerica.com","Daily_Incr","18AA9915","indpprdwnbu04.msn00.oneamerica.com","3543","7/9/2018 17:09:00","7/9/2018 17:00:00","INDPPRDWNBU02","NO"
"170922","Replication","Done","0","","SLP_SLP8_MLY_NEW_OA31D_HO13M","","Default_24x7_Window","93BB93271","indpprdlnbu08.msn00.oneamerica.com","1483818","7/10/2018 03:15:00","7/10/2018 03:14:00","INDPPRDWNBU02","NO"
"170919","Replication","Done","0","","SLP_SLP8_MLY_NEW_OA31D_HO13M","","Default_24x7_Window","112202968","indpprdlnbu08.msn00.oneamerica.com","1221110","7/10/2018 03:16:00","7/10/2018 03:14:00","INDPPRDWNBU02","NO"
"170915","Replication","Done","0","","SLP_SLP8_MLY_NEW_OA31D_HO13M","","Default_24x7_Window","53741333","indpprdlnbu08.msn00.oneamerica.com","6512","7/10/2018 05:32:00","7/10/2018 03:14:00","INDPPRDWNBU02","NO"
"170913","Replication","Done","0","","SLP_SLP8_MLY_NEW_OA31D_HO13M","","Default_24x7_Window","75790881","indpprdlnbu08.msn00.oneamerica.com","16834","7/10/2018 04:29:00","7/10/2018 03:14:00","INDPPRDWNBU02","NO"
"170909","Replication","Done","0","","SLP_SLP8_MLY_NEW_OA31D_HO13M","","Default_24x7_Window","89751516","indpprdlnbu08.msn00.oneamerica.com","1449873","7/10/2018 03:15:00","7/10/2018 03:14:00","INDPPRDWNBU02","NO"
"170907","Replication","Done","0","","SLP_SLP8_MLY_NEW_OA31D_HO13M","","Default_24x7_Window","61656486","indpprdlnbu08.msn00.oneamerica.com","81996","7/10/2018 03:27:00","7/10/2018 03:14:00","INDPPRDWNBU02","NO"
"170904","Replication","Done","0","","SLP_SLP8_MLY_NEW_OA31D_HO13M","","Default_24x7_Window","102526916","indpprdlnbu08.msn00.oneamerica.com","6730","7/10/2018 05:53:00","7/10/2018 03:14:00","INDPPRDWNBU02","NO"
"170903","Replication","Done","0","","SLP_SLP8_MLY_NEW_OA31D_HO13M","","Default_24x7_Window","102649689","indpprdlnbu08.msn00.oneamerica.com","24","7/10/2018 05:19:00","7/10/2018 03:14:00","INDPPRDWNBU02","NO"
"170899","Image Cleanup","Done","0","","","","","","","","7/10/2018 03:03:00","7/10/2018 03:02:00","INDPPRDWNBU02","NO"
"170898","Backup","Done","0","","INDY_PRD_New_NDMP_03","INDVPRDHNAS02","Daily_Incr","13865472","indpprdwnbu04.msn00.oneamerica.com","858","7/9/2018 21:47:00","7/9/2018 17:17:00","INDPPRDWNBU02","NO"
"170897","Backup","Done","0","","INDY_VADP_01","SWPDHCP03","Daily_Incr","1475668","indpprdwnbu04.msn00.oneamerica.com","16715","7/9/2018 17:14:00","7/9/2018 17:12:00","INDPPRDWNBU02","NO"
"170896","Backup","Done","0","","INDY_VADP_02","SWTMKSRTPAS01","Daily_Incr","2943784","indpprdwnbu04.msn00.oneamerica.com","5100","7/9/2018 17:22:00","7/9/2018 17:12:00","INDPPRDWNBU02","NO"
"170895","Backup","Done","0","","INDY_VADP_01","SWPBLUECOAT03","Daily_Incr","4058109","indpprdwnbu04.msn00.oneamerica.com","5249","7/9/2018 17:25:00","7/9/2018 17:12:00","INDPPRDWNBU02","NO"
"170894","Backup","Done","0","","INDY_VADP_03","IVPWPISQL2K02","Daily_Incr","932242","indpprdwnbu01.msn00.oneamerica.com","4108","7/9/2018 17:12:00","7/9/2018 17:07:00","INDPPRDWNBU02","NO"
"170893","Backup","Done","0","","INDY_VADP_02","SWPCSR01","Daily_Incr","4082525","indpprdwnbu04.msn00.oneamerica.com","4350","7/9/2018 17:23:00","7/9/2018 17:07:00","INDPPRDWNBU02","NO"
"170892","Backup","Done","0","","INDY_VADP_05","IVPWMSN00DC15","Daily_Incr","5096661","indpprdwnbu01.msn00.oneamerica.com","9678","7/9/2018 17:12:00","7/9/2018 17:01:00","INDPPRDWNBU02","NO"
